,From ,Godown location,Consignee Location
35,Dhanbad,Bhutgaria ,PUSHBANGLA
99,Dhanbad,Bhutgaria ,BASTI PALAJORI JAMTARA
104,Dhanbad,Bhutgaria ,PALAJAURI
123,Dhanbad,Bhutgaria ,ATAKA
156,Ranchi ,Namkum,DALDALI GODOWN
213,Deoghar,Kunda,JHOSAGARHI
218,Deoghar,Kunda,CHITNODIHA
221,Deoghar,Kunda,BHUDDAI
233,Deoghar,Kunda,GHOMARA
238,Deoghar,Kunda,SUGABATHAN
242,Deoghar,Kunda,PIRPAITHI ROAD
243,Deoghar,Kunda,BIRKUWAR  CHOWK
244,Deoghar,Kunda,GORHI CHOWK
250,Deoghar,Kunda,SARAWANI MARKET
251,Deoghar,Kunda,KEDO BAZAR
266,Deoghar,Kunda,SRIMATPUR
269,Deoghar,Kunda,MAPRA GODDA
270,Deoghar,Kunda,BELWADDA
271,Deoghar,Kunda,SHIKARPURA
273,Deoghar,Kunda,RAWESHWAR
283,Deoghar,Kunda,GOPIKANKAN
156,Ranchi ,Kathalmore,DALDALI GODOWN
159,Ranchi ,Kathalmore,HATIA/SADABAHAR CHOW
160,Ranchi ,Kathalmore,HATIA SADABAHAR
218,Deoghar,Bazar Samiti,CHITOLORIYA
221,Deoghar,Bazar Samiti,BHUDDAI
238,Deoghar,Bazar Samiti,SUGABATHAN
242,Deoghar,Bazar Samiti,PIRPAITHI ROAD
243,Deoghar,Bazar Samiti,BIRKUWAR  CHOWK
244,Deoghar,Bazar Samiti,GORHI CHOWK
250,Deoghar,Bazar Samiti,SARONI MARKET
251,Deoghar,Bazar Samiti,
266,Deoghar,Bazar Samiti,SRIMATPUR
273,Deoghar,Bazar Samiti,RAWESHWAR
